section,label,value
Q05a constraints,trips.trips_dispatchWindowId_fkey [f],"FOREIGN KEY (""dispatchWindowId"") REFERENCES dispatch_slot_master(id)"
Q05a constraints,trips.trips_dispatchedById_fkey [f],"FOREIGN KEY (""dispatchedById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_pkey [p],PRIMARY KEY (id)
Q05a constraints,trips.trips_releasedById_fkey [f],"FOREIGN KEY (""releasedById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_sentToBillingById_fkey [f],"FOREIGN KEY (""sentToBillingById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_shownById_fkey [f],"FOREIGN KEY (""shownById"") REFERENCES users(id) ON DELETE SET NULL"
Q05a constraints,trips.trips_transporterId_fkey [f],"FOREIGN KEY (""transporterId"") REFERENCES transporter_master(id)"
Q05a constraints,trips.trips_tripNumber_key [u],"UNIQUE (""tripNumber"")"
Q05a constraints,trips.trips_vehicleId_fkey [f],"FOREIGN KEY (""vehicleId"") REFERENCES vehicle_master(id)"
Q05b indexes,app_tag_settings.app_tag_settings_everyone_key,"CREATE UNIQUE INDEX app_tag_settings_everyone_key ON public.app_tag_settings USING btree (""tagKey"") WHERE (scope = 'everyone'::text)"
Q05b indexes,app_tag_settings.app_tag_settings_pkey,CREATE UNIQUE INDEX app_tag_settings_pkey ON public.app_tag_settings USING btree (id)
Q05b indexes,app_tag_settings.app_tag_settings_role_idx,"CREATE INDEX app_tag_settings_role_idx ON public.app_tag_settings USING btree (""roleSlug"") WHERE (""roleSlug"" IS NOT NULL)"
Q05b indexes,app_tag_settings.app_tag_settings_role_key,"CREATE UNIQUE INDEX app_tag_settings_role_key ON public.app_tag_settings USING btree (""tagKey"", ""roleSlug"") WHERE (scope = 'role'::text)"
Q05b indexes,app_tag_settings.app_tag_settings_user_idx,"CREATE INDEX app_tag_settings_user_idx ON public.app_tag_settings USING btree (""userId"") WHERE (""userId"" IS NOT NULL)"
Q05b indexes,app_tag_settings.app_tag_settings_user_key,"CREATE UNIQUE INDEX app_tag_settings_user_key ON public.app_tag_settings USING btree (""tagKey"", ""userId"") WHERE (scope = 'user'::text)"
Q05b indexes,trip_activity.trip_activity_created_idx,"CREATE INDEX trip_activity_created_idx ON public.trip_activity USING btree (""createdAt"" DESC)"
Q05b indexes,trip_activity.trip_activity_pkey,CREATE UNIQUE INDEX trip_activity_pkey ON public.trip_activity USING btree (id)
Q05b indexes,trip_activity.trip_activity_trip_idx,"CREATE INDEX trip_activity_trip_idx ON public.trip_activity USING btree (""tripId"", ""createdAt"")"
Q05b indexes,trip_drops.trip_drops_customer_idx,"CREATE INDEX trip_drops_customer_idx ON public.trip_drops USING btree (""customerId"")"
Q05b indexes,trip_drops.trip_drops_pkey,CREATE UNIQUE INDEX trip_drops_pkey ON public.trip_drops USING btree (id)
Q05b indexes,trip_drops.trip_drops_trip_idx,"CREATE INDEX trip_drops_trip_idx ON public.trip_drops USING btree (""tripId"")"
Q05b indexes,trip_drops.trip_drops_trip_key_key,"CREATE UNIQUE INDEX trip_drops_trip_key_key ON public.trip_drops USING btree (""tripId"", ""dropKey"")"
Q05b indexes,trip_drops.trip_drops_trip_seq_key,"CREATE UNIQUE INDEX trip_drops_trip_seq_key ON public.trip_drops USING btree (""tripId"", ""dropSeq"")"
Q05b indexes,trips.trips_date_idx,"CREATE INDEX trips_date_idx ON public.trips USING btree (""tripDate"" DESC)"
Q05b indexes,trips.trips_date_type_seq_live_key,"CREATE UNIQUE INDEX trips_date_type_seq_live_key ON public.trips USING btree (""tripDate"", ""typeCode"", seq) WHERE (status <> 'cancelled'::text)"
Q05b indexes,trips.trips_pkey,CREATE UNIQUE INDEX trips_pkey ON public.trips USING btree (id)
Q05b indexes,trips.trips_status_idx,CREATE INDEX trips_status_idx ON public.trips USING btree (status)
Q05b indexes,trips.trips_tripNumber_key,"CREATE UNIQUE INDEX ""trips_tripNumber_key"" ON public.trips USING btree (""tripNumber"")"
Q05b indexes,trips.trips_vehicle_idx,"CREATE INDEX trips_vehicle_idx ON public.trips USING btree (""vehicleId"")"
Q06a mrn_lines.deliveryNo,column_default | is_nullable | data_type,''::text | NO | text
Q06b mrn constraints,mrn.chk_mrn_received_from [c],"CHECK ((""receivedFrom"" = ANY (ARRAY['TPW'::text, 'CDC'::text])))"
Q06b mrn constraints,mrn.chk_mrn_status [c],"CHECK ((status = ANY (ARRAY['open'::text, 'checking'::text, 'done'::text, 'closed'::text])))"
Q06b mrn constraints,mrn.mrn_closedById_fkey [f],"FOREIGN KEY (""closedById"") REFERENCES users(id) ON DELETE SET NULL"
Q06b mrn constraints,mrn.mrn_createdById_fkey [f],"FOREIGN KEY (""createdById"") REFERENCES users(id) ON DELETE RESTRICT"
Q06b mrn constraints,mrn.mrn_pkey [p],PRIMARY KEY (id)
Q06b mrn constraints,mrn.mrn_removedById_fkey [f],"FOREIGN KEY (""removedById"") REFERENCES users(id) ON DELETE SET NULL"
Q06b mrn constraints,mrn.mrn_unloadingEndById_fkey [f],"FOREIGN KEY (""unloadingEndById"") REFERENCES users(id) ON DELETE SET NULL"
Q06b mrn constraints,mrn.mrn_unloadingStartById_fkey [f],"FOREIGN KEY (""unloadingStartById"") REFERENCES users(id) ON DELETE SET NULL"
Q06b mrn constraints,mrn_photos.chk_mrn_photo_kind [c],"CHECK ((kind = ANY (ARRAY['lr'::text, 'leaky'::text, 'damage'::text, 'other'::text])))"
Q06b mrn constraints,mrn_photos.chk_mrn_photo_lr_truck_level [c],"CHECK (((kind <> 'lr'::text) OR (""lineId"" IS NULL)))"
Q06b mrn constraints,mrn_photos.mrn_photos_capturedById_fkey [f],"FOREIGN KEY (""capturedById"") REFERENCES users(id) ON DELETE RESTRICT"
Q06b mrn constraints,mrn_photos.mrn_photos_lineId_fkey [f],"FOREIGN KEY (""lineId"") REFERENCES mrn_lines(id) ON DELETE CASCADE"
Q06b mrn constraints,mrn_photos.mrn_photos_mrnId_fkey [f],"FOREIGN KEY (""mrnId"") REFERENCES mrn(id) ON DELETE CASCADE"
Q06b mrn constraints,mrn_photos.mrn_photos_pkey [p],PRIMARY KEY (id)
Q06b mrn constraints,mrn_photos.mrn_photos_storagePath_key [u],"UNIQUE (""storagePath"")"
Q07a role_master,id 001,admin  → slug admin
Q07a role_master,id 002,dispatcher  → slug dispatcher
Q07a role_master,id 003,support  → slug support
Q07a role_master,id 004,tint_manager  → slug tint_manager
Q07a role_master,id 005,tint_operator  → slug tint_operator
Q07a role_master,id 006,floor_supervisor  → slug floor_supervisor
Q07a role_master,id 007,picker  → slug picker
Q07a role_master,id 012,operations  → slug operations
Q07a role_master,id 013,billing_operator  → slug billing_operator
Q07a role_master,id 014,ops_admin  → slug ops_admin
Q07a role_master,id 015,operation_manager  → slug operation_manager
Q07a role_master,id 016,logistics  → slug logistics
Q07a role_master,id 017,floor_access  → slug floor_access
Q07a role_master,row count,13
Q07b floor_access holders,Ajay Vansiya (#29),via user_roles
Q07b floor_access holders,Dhanraj Shah (#30),via user_roles
Q07b floor_access holders,Prakash (#32),via user_roles
Q07b floor_access holders,Priya Chaudhari (#31),via user_roles
Q07b floor_access holders,total distinct users,4
Q07c floor view-only,count,0
Q08 Chandresh roles,Chandresh Kolgha (#21) primary,tint_manager
Q08 Chandresh roles,Chandresh Kolgha (#21) user_roles,tint_manager
Q08 Chandresh roles,users matched by name,1
Q09 dispatched,orders.workflowStage = dispatched (all),7330
Q09 dispatched,orders.workflowStage = dispatched AND NOT isRemoved,7330
Q10a columns,app_tag_settings.roleSlug,text | nullable=YES | default=none
Q10a columns,app_tag_settings.scope,text | nullable=NO | default='everyone'::text
Q10a columns,app_tag_settings.userId,integer | nullable=YES | default=none
Q10a columns,mo_orders.updatedAt,timestamp with time zone | nullable=NO | default=now()
Q10a columns,orders.loadedAt,timestamp with time zone | nullable=YES | default=none
Q10a columns,orders.loadedById,integer | nullable=YES | default=none
Q10a columns,orders.pickVisibleAt,timestamp with time zone | nullable=YES | default=none
Q10a columns,orders.pickVisibleById,integer | nullable=YES | default=none
Q10a columns,orders.tripDropId,integer | nullable=YES | default=none
Q10a columns,route_master.bayNumber,integer | nullable=YES | default=none
Q10a columns,transporter_master.isRealTransporter,boolean | nullable=NO | default=false
Q10a columns,users.notesFontSize,integer | nullable=NO | default=11
Q10b tables,app_settings,exists (BASE TABLE)
Q10b tables,trip_activity,exists (BASE TABLE)
Q10b tables,trip_drops,exists (BASE TABLE)
Q10b tables,trips,exists (BASE TABLE)
Q11 mo_orders triggers,trg_mo_orders_updated_at,BEFORE UPDATE → EXECUTE FUNCTION set_updated_at_mo_orders()
Q11 mo_orders triggers,trigger rows (0 = none),1
